Interval,DW3 (None),TL (None)
1.0,6.90016329632192,9.272549520338773
2.0,16.509802143132042,19.244270514109406
3.0,27.98790115606481,29.917937023933515
4.0,40.82563502950914,41.28465430146556
5.0,54.65098851997197,53.32212349103844
6.0,69.16906321471488,65.99318579877945
7.0,84.13672981612194,79.24480986274247
8.0,99.34966218370067,93.00768819574289
9.0,114.63476740090569,107.196591607893
10.0,129.8452673318487,121.7115911082835
11.0,144.8571968923442,136.44019466452494
12.0,159.56670963102417,151.2603652414878
13.0,173.88786986009015,166.04429516416852
14.0,187.7507549207128,180.66272233592545
15.0,201.09976781186697,194.9895004604434
16.0,213.8921029334597,208.9060915880791
17.0,226.09633200236576,222.30564447931346
18.0,237.69109132602216,235.09635936486634
19.0,248.66385984239622,247.20391394782493
20.0,259.00982204438367,258.5728253195239
21.0,268.7308124852545,269.1667318679939
22.0,277.8343398394108,278.96768146076187
23.0,286.3326889806678,287.97459314383894
24.0,294.2420995603251,296.2011105877592
25.0,301.5820193251304,303.67308411020787
26.0,308.37443004328196,310.4259076049238
27.0,314.6432434900006,316.5019043621481
28.0,320.4137645368448,321.94791057499884
29.0,325.7122180238496,326.8131559944869
30.0,330.56533578953594,331.1474947109461
31.0,335.00000000000006,335.0
